,remarks_calls,change_volume_calls,change_oi_lakhs_calls,change_ltp_calls,change_iv,strike_price,change_volume_puts,change_oi_lakhs_puts,change_ltp_puts,remarks_puts,time_roc
44,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
45,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
46,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
47,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
48,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
62,NA,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
49,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
50,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:52:31
51,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
52,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
53,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
54,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
55,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
63,NA,0.0,0.0,0.0,0.0,24800.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
